texte,domaine,priorite
l'hyperviseur a fondu,INFRA,Haute
un gars essaie de rentrer de force je suis en danger,POLICE,Moyenne
je saigne,MÉDICAL,Moyenne
un voleur me menace avec une arme ma vie est en danger,POLICE,Haute
mon collègue a cassé mon bras vite,MÉDICAL,Moyenne
une maison est en train de s'écrouler.,POMPIER,Moyenne
un immeuble a pris feu je suis en danger,POMPIER,Haute
un tueur rode autour de la maison je suis en danger,POLICE,Moyenne
le routeur a crashé,INFRA,Haute
un gars essaie de me tuer.,POLICE,Haute
un gars essaie de rentrer de force!,POLICE,Moyenne
mon pc clignote sans arrêt,MATÉRIEL,Basse
mon fils a perdu un oeil vite,MÉDICAL,Haute
au secours on me tire dessus,POLICE,Haute
ma souris est cassé,MATÉRIEL,Basse
le wifi est tombé,INFRA,Haute
la base de données est très lent,INFRA,Haute
mon collègue a fait un malaise je suis en danger,MÉDICAL,Haute
je saigne,MÉDICAL,Moyenne
un fou a sorti une arme!,POLICE,Haute
le datacenter a fondu,INFRA,Haute
un batiment est en train de s'écrouler aidez-moi,POMPIER,Moyenne
la webcam a un faux contact,MATÉRIEL,Basse
un fou me suit dans la rue je suis en danger,POLICE,Moyenne
mon collègue a le nez cassé vite,MÉDICAL,Moyenne
le vidéoprojecteur est mort,MATÉRIEL,Basse
il y a un tueur en série,POLICE,Haute
mon clavier clignote sans arrêt,MATÉRIEL,Basse
j'ai le nez cassé ma vie est en danger,MÉDICAL,Moyenne
le vidéoprojecteur a l'écran fissuré,MATÉRIEL,Basse
la forêt est en train de s'écrouler aidez-moi,POMPIER,Moyenne
mon authentification n'est pas reconnu,ACCÈS,Moyenne
une centrale nucléaire a été soufflé par une explosion aidez-moi,POMPIER,Haute
je saigne,MÉDICAL,Moyenne
un pont brûle.,POMPIER,Haute
mon ami a cassé mon bras vite,MÉDICAL,Moyenne
un inconnu essaie de rentrer de force je suis en danger,POLICE,Moyenne
le routeur est tombé,INFRA,Haute
mon login tourne en boucle,ACCÈS,Moyenne
il y'a une aggression,POLICE,Haute
il y a un tueur en série,POLICE,Haute
un pont menace de s'écrouler!,POMPIER,Moyenne
l'imprimante fait un bruit bizarre,MATÉRIEL,Basse
au secours on me tire dessus,POLICE,Haute
un gars me frappe au visage aidez-moi,POLICE,Haute
l'imprimante est cassé,MATÉRIEL,Basse
mon ami a perdu un oeil vite,MÉDICAL,Haute
ma femme a le nez cassé aidez-moi,MÉDICAL,Moyenne
"ma vie est en danger, il y a quelqu'un",POLICE,Haute
un fou est entré par effraction vite,POLICE,Moyenne
mon cœur me fait mal,MÉDICAL,Haute
l'hyperviseur est tombé,INFRA,Haute
mon téléphone ne répond plus,MATÉRIEL,Basse
le wifi a une latence énorme,INFRA,Haute
une central nucléaire vient d'exploser,POMPIER,Haute
le réseau ne répond plus,INFRA,Haute
ma femme a le bras arraché,MÉDICAL,Haute
une maison a été soufflé par une explosion.,POMPIER,Haute
mon compte est verrouillé,ACCÈS,Moyenne
la base de données est tombé,INFRA,Haute
mon login est bloqué,ACCÈS,Moyenne
mon fils a le nez cassé ma vie est en danger,MÉDICAL,Moyenne
je du sang partout je suis en danger,MÉDICAL,Haute
il y a un tueur en série,POLICE,Haute
mon collègue a le crâne ouvert,MÉDICAL,Haute
le réseau ne répond plus,INFRA,Haute
mon accès affiche une erreur,ACCÈS,Moyenne
un gars me frappe au visage!,POLICE,Haute
mon coeur me fait mal,MÉDICAL,Haute
la webcam marche plus,MATÉRIEL,Basse
l'hyperviseur est en panne,INFRA,Haute
mon écran est cassé,MATÉRIEL,Basse
mon compte affiche une erreur,ACCÈS,Moyenne
un pont est en train de s'écrouler vite,POMPIER,Moyenne
j'ai du sang,MÉDICAL,Moyenne
mon pc ne s'allume pas,MATÉRIEL,Basse
mon pc fait un bruit bizarre,MATÉRIEL,Basse
un tueur est entré par effraction ma vie est en danger,POLICE,Moyenne
une maison à exploser,POMPIER,Haute
une maison menace de s'écrouler vite,POMPIER,Moyenne
le parking est en train de s'écrouler!,POMPIER,Moyenne
un tueur est entré par effraction vite,POLICE,Moyenne
je cassé mon bras,MÉDICAL,Moyenne
une maison à exploser,POMPIER,Haute
un batiment vient de tomber,POMPIER,Haute
le wifi est en panne,INFRA,Haute
mon collègue a très mal au dos je suis en danger,MÉDICAL,Moyenne
un individu rode autour de la maison je suis en danger,POLICE,Moyenne
je le nez cassé,MÉDICAL,Moyenne
un pont est rempli de fumée je suis en danger,POMPIER,Haute
ma session est bloqué,ACCÈS,Moyenne
mon collègue a avalé du poison.,MÉDICAL,Haute
il y a un tueur en série,POLICE,Haute
mon collègue a fait un malaise je suis en danger,MÉDICAL,Haute
j'ai le nez cassé ma vie est en danger,MÉDICAL,Moyenne
mon ami a cassé mon bras,MÉDICAL,Moyenne
le vpn est expiré,ACCÈS,Moyenne
mon compte est verrouillé,ACCÈS,Moyenne
mon ex a un fusil,POLICE,Haute
un homme me suit dans la rue je suis en danger,POLICE,Moyenne
un entrepot menace de s'écrouler,POMPIER,Moyenne
mon ex est entré par effraction ma vie est en danger,POLICE,Moyenne
mon login me refuse l'accès,ACCÈS,Moyenne
un fou a un couteau aidez-moi,POLICE,Haute
il y a un gars qui m'a tirer dessus,POLICE,Haute
le vpn est bloqué,ACCÈS,Moyenne
mon ami a le nez cassé!,MÉDICAL,Moyenne
un batiment est en train de s'écrouler aidez-moi,POMPIER,Moyenne
un gars essaie de rentrer de force.,POLICE,Moyenne
une usine fuit du gaz ma vie est en danger,POMPIER,Haute
un individu me suit dans la rue ma vie est en danger,POLICE,Moyenne
il y a un tueur en série,POLICE,Haute
ma souris d'ordinateur est morte,MATÉRIEL,Basse
mon pc ne répond plus,MATÉRIEL,Basse
des gens essaie de rentrer de force ma vie est en danger,POLICE,Moyenne
un homme a un fusil!,POLICE,Haute
ma session n'est pas reconnu,ACCÈS,Moyenne
des gens a un couteau.,POLICE,Haute
mon clavier est mort,MATÉRIEL,Basse
mon pc ne s'allume pas,MATÉRIEL,Basse
un pont menace de s'écrouler!,POMPIER,Moyenne
mon cœur me fait mal,MÉDICAL,Haute
j'ai du sang partout ma vie est en danger,MÉDICAL,Haute
le serveur est en panne,INFRA,Haute
un individu a sorti une arme ma vie est en danger,POLICE,Haute
quelqu'un est entré par effraction aidez-moi,POLICE,Moyenne
le routeur a fondu,INFRA,Haute
une centrale nucléaire est en train de s'écrouler je suis en danger,POMPIER,Moyenne
le toit est rempli de fumée vite,POMPIER,Haute
une centrale nucléaire a pris feu ma vie est en danger,POMPIER,Haute
mon accès n'est pas reconnu,ACCÈS,Moyenne
le toit est en train de s'écrouler ma vie est en danger,POMPIER,Moyenne
mon accès affiche une erreur,ACCÈS,Moyenne
une centrale nucléaire menace de s'écrouler,POMPIER,Moyenne
je me suis fais tirer dessus,POLICE,Haute
mon compte tourne en boucle,ACCÈS,Moyenne
mon téléphone ne répond plus,MATÉRIEL,Basse
la forêt a été soufflé par une explosion vite,POMPIER,Haute
mon ami a le nez cassé!,MÉDICAL,Moyenne
quelqu'un a le crâne ouvert.,MÉDICAL,Haute
je saigne du doigt,MÉDICAL,Basse
un gars est entré par effraction vite,POLICE,Moyenne
la forêt est en train de s'écrouler.,POMPIER,Moyenne
je saigne du doigt,MÉDICAL,Basse
quelqu'un rode autour de la maison vite,POLICE,Moyenne
mon accès n'est pas reconnu,ACCÈS,Moyenne
le toit vient d'exploser vite,POMPIER,Haute
un voleur me suit dans la rue!,POLICE,Moyenne
mon écran a l'écran fissuré,MATÉRIEL,Basse
la webcam fait un bruit bizarre,MATÉRIEL,Basse
une maison fuit du gaz,POMPIER,Haute
un fou m'a tiré dessus.,POLICE,Haute
la fibre est en panne,INFRA,Haute
la forêt menace de s'écrouler aidez-moi,POMPIER,Moyenne
un pont a pris feu,POMPIER,Haute
mon casque est bloqué,MATÉRIEL,Basse
une voiture est en train de s'écrouler je suis en danger,POMPIER,Moyenne
j'ai fait un malaise.,MÉDICAL,Haute
le toit est en train de s'écrouler ma vie est en danger,POMPIER,Moyenne
mon collègue a du mal à respirer ma vie est en danger,MÉDICAL,Haute
un voleur est entré par effraction,POLICE,Moyenne
le datacenter est en panne,INFRA,Haute
un batiment est rempli de fumée vite,POMPIER,Haute
mon compte est expiré,ACCÈS,Moyenne
mon ami a cassé mon bras ma vie est en danger,MÉDICAL,Moyenne
la base de données a crashé,INFRA,Haute
un immeuble est en train de s'écrouler je suis en danger,POMPIER,Moyenne
le datacenter ne répond plus,INFRA,Haute
le serveur est en panne,INFRA,Haute
une maison à exploser,POMPIER,Haute
un tueur me suit dans la rue je suis en danger,POLICE,Moyenne
un individu m'a tiré dessus,POLICE,Haute
une usine est en train de s'écrouler aidez-moi,POMPIER,Moyenne
quelqu'un a très mal au dos vite,MÉDICAL,Moyenne
je me suis fais tirer dessus,POLICE,Haute
le datacenter est tombé,INFRA,Haute
un homme a un couteau.,POLICE,Haute
mon ex essaie de me tuer!,POLICE,Haute
une maison s'est effondré,POMPIER,Haute
ma session est expiré,ACCÈS,Moyenne
un voleur me menace avec une arme!,POLICE,Haute
l'hyperviseur a une latence énorme,INFRA,Haute
quelqu'un est entré par effraction ma vie est en danger,POLICE,Moyenne
le parking a été soufflé par une explosion.,POMPIER,Haute
l'imprimante est mort,MATÉRIEL,Basse
mon cœur me fait mal,MÉDICAL,Haute
le parking a été soufflé par une explosion je suis en danger,POMPIER,Haute
un batiment vient de tomber,POMPIER,Haute
la forêt est en feu,POMPIER,Haute
le vidéoprojecteur a l'écran fissuré,MATÉRIEL,Basse
un inconnu rode autour de la maison je suis en danger,POLICE,Moyenne
une maison à exploser,POMPIER,Haute
un fou essaie de me tuer,POLICE,Haute
ma femme a cassé mon bras ma vie est en danger,MÉDICAL,Moyenne
un individu m'a tiré dessus je suis en danger,POLICE,Haute
mon ami a une grosse hémorragie vite,MÉDICAL,Haute
un immeuble est rempli de fumée vite,POMPIER,Haute
le vpn n'est pas reconnu,ACCÈS,Moyenne
mon ex essaie de me tuer,POLICE,Haute
un gars est entré par effraction aidez-moi,POLICE,Moyenne
le serveur affiche une erreur 500,INFRA,Haute
mon cœur me fait mal,MÉDICAL,Haute
un inconnu me frappe au visage.,POLICE,Haute
mon ex m'a tiré dessus vite,POLICE,Haute
je le bras arraché.,MÉDICAL,Haute
mon fils a le nez cassé,MÉDICAL,Moyenne
une maison est rempli de fumée,POMPIER,Haute
je saigne du doigt,MÉDICAL,Basse
une maison menace de s'écrouler je suis en danger,POMPIER,Moyenne
un voleur me suit dans la rue je suis en danger,POLICE,Moyenne
un batiment vient d'exploser vite,POMPIER,Haute
j'ai très mal au ventre,MÉDICAL,Moyenne
le vpn me refuse l'accès,ACCÈS,Moyenne
un immeuble menace de s'écrouler,POMPIER,Moyenne
un homme me frappe au visage!,POLICE,Haute
j'ai perdu ma jambe,MÉDICAL,Haute
mon ami a le nez cassé je suis en danger,MÉDICAL,Moyenne
quelqu'un me suit dans la rue.,POLICE,Moyenne
j'ai une grosse hémorragie je suis en danger,MÉDICAL,Haute
le parking menace de s'écrouler je suis en danger,POMPIER,Moyenne
un gars essaie de me tuer vite,POLICE,Haute
mon collègue a le nez cassé ma vie est en danger,MÉDICAL,Moyenne
un immeuble est en train de s'écrouler,POMPIER,Moyenne
le routeur ne répond plus,INFRA,Haute
une usine fuit du gaz je suis en danger,POMPIER,Haute
mon fils a une grosse hémorragie aidez-moi,MÉDICAL,Haute
le parking s'est effondré ma vie est en danger,POMPIER,Haute
la forêt brûle ma vie est en danger,POMPIER,Haute
la forêt menace de s'écrouler,POMPIER,Moyenne
le toit est en feu!,POMPIER,Haute
le vpn n'est pas reconnu,ACCÈS,Moyenne
une voiture est en train de s'écrouler ma vie est en danger,POMPIER,Moyenne
la base de données affiche une erreur 500,INFRA,Haute
le vidéoprojecteur est bloqué,MATÉRIEL,Basse
mon clavier clignote sans arrêt,MATÉRIEL,Basse
quelqu'un essaie de rentrer de force aidez-moi,POLICE,Moyenne
la webcam ne s'allume pas,MATÉRIEL,Basse
quelqu'un a fait un malaise je suis en danger,MÉDICAL,Haute
il y a quelqu'un qui tire,POLICE,Haute
ma session n'est pas reconnu,ACCÈS,Moyenne
une centrale nucléaire a pris feu!,POMPIER,Haute
un batiment vient de tomber,POMPIER,Haute
un tueur tire sur la foule.,POLICE,Haute
le parking fuit du gaz!,POMPIER,Haute
mon collègue a très mal au ventre aidez-moi,MÉDICAL,Moyenne
un gars m'a tiré dessus je suis en danger,POLICE,Haute
un gars essaie de rentrer de force!,POLICE,Moyenne
j'ai cassé mon bras,MÉDICAL,Moyenne
mon compte a été piraté,ACCÈS,Moyenne
un tueur braque la banque vite,POLICE,Haute
mon fils a très mal au coeur.,MÉDICAL,Haute
le vidéoprojecteur est cassé,MATÉRIEL,Basse
un voleur me menace avec une arme aidez-moi,POLICE,Haute
le toit est en train de s'écrouler ma vie est en danger,POMPIER,Moyenne
mon compte est bloqué,ACCÈS,Moyenne
mon mot de passe n'est pas reconnu,ACCÈS,Moyenne
mon casque fait un bruit bizarre,MATÉRIEL,Basse
un batiment vient de tomber,POMPIER,Haute
quelqu'un a le nez cassé aidez-moi,MÉDICAL,Moyenne
une voiture est rempli de fumée aidez-moi,POMPIER,Haute
quelqu'un a très mal au dos je suis en danger,MÉDICAL,Moyenne
mon login n'est pas reconnu,ACCÈS,Moyenne
une maison à exploser,POMPIER,Haute
une maison à exploser,POMPIER,Haute
mon casque fait un bruit bizarre,MATÉRIEL,Basse
mon ex a un fusil.,POLICE,Haute
ma session a été piraté,ACCÈS,Moyenne
je cassé mon bras ma vie est en danger,MÉDICAL,Moyenne
mon mot de passe est bloqué,ACCÈS,Moyenne
ma vie est en danger,POLICE,Haute
une centrale nucléaire a été soufflé par une explosion je suis en danger,POMPIER,Haute
un individu a sorti une arme vite,POLICE,Haute
une centrale nucléaire est en train de s'écrouler je suis en danger,POMPIER,Moyenne
un immeuble vient d'exploser aidez-moi,POMPIER,Haute
je le nez cassé ma vie est en danger,MÉDICAL,Moyenne
je saigne,MÉDICAL,Moyenne
mon authentification a été piraté,ACCÈS,Moyenne
un inconnu a un fusil ma vie est en danger,POLICE,Haute
un pont vient d'exploser vite,POMPIER,Haute
j'ai cassé mon bras ma vie est en danger,MÉDICAL,Moyenne
un immeuble menace de s'écrouler je suis en danger,POMPIER,Moyenne
il y a un braquage,POLICE,Haute
mon fils a avalé du poison,MÉDICAL,Haute
le wifi a une latence énorme,INFRA,Haute
un fou est entré par effraction je suis en danger,POLICE,Moyenne
ma souris est cassé,MATÉRIEL,Basse
un individu rode autour de la maison vite,POLICE,Moyenne
le vidéoprojecteur est cassé,MATÉRIEL,Basse
l'hyperviseur a une latence énorme,INFRA,Haute
je cassé mon bras vite,MÉDICAL,Moyenne
il y a du feu chez moi,POMPIER,Haute
une centrale nucléaire menace de s'écrouler,POMPIER,Moyenne
mon accès est bloqué,ACCÈS,Moyenne
mon téléphone a un faux contact,MATÉRIEL,Basse
mon collègue a très mal au ventre je suis en danger,MÉDICAL,Moyenne
quelqu'un est entré par effraction!,POLICE,Moyenne
le toit fuit du gaz.,POMPIER,Haute
une centrale nucléaire a été soufflé par une explosion je suis en danger,POMPIER,Haute
mon coeur me fait mal,MÉDICAL,Haute
la fibre est en panne,INFRA,Haute
un gars m'a tiré dessus vite,POLICE,Haute
il y a un gars qui m'a tirer dessus,POLICE,Haute
le wifi a une latence énorme,INFRA,Haute
mon fils a perdu un oeil!,MÉDICAL,Haute
il y a quelqu'un qui essaie de me tirer dessus,POLICE,Haute
un fou essaie de rentrer de force aidez-moi,POLICE,Moyenne
au secours on me tire dessus,POLICE,Haute
je fait un malaise,MÉDICAL,Haute
ma femme a le nez cassé ma vie est en danger,MÉDICAL,Moyenne
le datacenter ne répond plus,INFRA,Haute
mon collègue a perdu un oeil.,MÉDICAL,Haute
la webcam clignote sans arrêt,MATÉRIEL,Basse
mon authentification n'est pas reconnu,ACCÈS,Moyenne
la webcam fait un bruit bizarre,MATÉRIEL,Basse
je me suis fais tirer dessus,POLICE,Haute
un gars braque la banque je suis en danger,POLICE,Haute
il y a un gars qui m'a tirer dessus,POLICE,Haute
quelqu'un a très mal au ventre aidez-moi,MÉDICAL,Moyenne
une maison a pris feu.,POMPIER,Haute
un homme a sorti une arme.,POLICE,Haute
le réseau est en panne,INFRA,Haute
mon ex est entré par effraction je suis en danger,POLICE,Moyenne
des gens essaie de rentrer de force!,POLICE,Moyenne
mon clavier ne répond plus,MATÉRIEL,Basse
mon collègue a cassé mon bras!,MÉDICAL,Moyenne
ma souris d'ordinateur est morte,MATÉRIEL,Basse
mon ex a un couteau,POLICE,Haute
un gars veut me poignarder.,POLICE,Haute
la base de données affiche une erreur 500,INFRA,Haute
mon accès tourne en boucle,ACCÈS,Moyenne
je saigne du doigt,MÉDICAL,Basse
le vpn n'est pas reconnu,ACCÈS,Moyenne
une maison à exploser,POMPIER,Haute
un batiment est rempli de fumée!,POMPIER,Haute
quelqu'un a le nez cassé aidez-moi,MÉDICAL,Moyenne
j'ai cassé mon nez,MÉDICAL,Moyenne
ma souris marche plus,MATÉRIEL,Basse
un gars a sorti une arme.,POLICE,Haute
mon téléphone ne s'allume pas,MATÉRIEL,Basse
mon fils a du sang partout aidez-moi,MÉDICAL,Haute
je me suis fais tirer dessus,POLICE,Haute
mon fils a cassé mon bras je suis en danger,MÉDICAL,Moyenne
le toit vient d'exploser je suis en danger,POMPIER,Haute
quelqu'un rode autour de la maison vite,POLICE,Moyenne
le vidéoprojecteur clignote sans arrêt,MATÉRIEL,Basse
la webcam a un faux contact,MATÉRIEL,Basse
ma session affiche une erreur,ACCÈS,Moyenne
mon téléphone est bloqué,MATÉRIEL,Basse
ma vie est en danger,POLICE,Haute
j'ai le crâne ouvert aidez-moi,MÉDICAL,Haute
la fibre a crashé,INFRA,Haute
mon authentification est expiré,ACCÈS,Moyenne
j'ai du sang,MÉDICAL,Moyenne
la fibre est très lent,INFRA,Haute
une centrale nucléaire menace de s'écrouler je suis en danger,POMPIER,Moyenne
il y a un gars qui m'a tirer dessus,POLICE,Haute
mon accès est verrouillé,ACCÈS,Moyenne
un gars est entré par effraction ma vie est en danger,POLICE,Moyenne
le toit menace de s'écrouler ma vie est en danger,POMPIER,Moyenne
le toit est en train de s'écrouler.,POMPIER,Moyenne
mon login a été piraté,ACCÈS,Moyenne
une maison a pris feu ma vie est en danger,POMPIER,Haute
ma femme a le nez cassé!,MÉDICAL,Moyenne
le parking menace de s'écrouler vite,POMPIER,Moyenne
le serveur a crashé,INFRA,Haute
le routeur est tombé,INFRA,Haute
une maison est en train de s'écrouler vite,POMPIER,Moyenne
le parking est en train de s'écrouler ma vie est en danger,POMPIER,Moyenne
mon fils a très mal au ventre vite,MÉDICAL,Moyenne
mon fils a perdu ma jambe.,MÉDICAL,Haute
il y a un gars qui m'a tirer dessus,POLICE,Haute
le réseau a crashé,INFRA,Haute
ma souris ne s'allume pas,MATÉRIEL,Basse
un entrepot est en train de s'écrouler ma vie est en danger,POMPIER,Moyenne
un inconnu me suit dans la rue.,POLICE,Moyenne
le parking est en train de s'écrouler ma vie est en danger,POMPIER,Moyenne
mon cœur me fait mal,MÉDICAL,Haute
une centrale nucléaire est en train de s'écrouler vite,POMPIER,Moyenne
un inconnu braque la banque,POLICE,Haute
mon ex essaie de rentrer de force!,POLICE,Moyenne
une usine a pris feu ma vie est en danger,POMPIER,Haute
mon coeur me fait mal,MÉDICAL,Haute
le datacenter a crashé,INFRA,Haute
un homme me menace avec une arme.,POLICE,Haute
il y a du feu chez moi,POMPIER,Haute
mon casque ne s'allume pas,MATÉRIEL,Basse
un pont fuit du gaz je suis en danger,POMPIER,Haute
le parking brûle vite,POMPIER,Haute
un tueur tire sur la foule!,POLICE,Haute
des gens rode autour de la maison.,POLICE,Moyenne
mon clavier est cassé,MATÉRIEL,Basse
la forêt est en train de s'écrouler.,POMPIER,Moyenne
ma souris clignote sans arrêt,MATÉRIEL,Basse
une maison a été soufflé par une explosion aidez-moi,POMPIER,Haute
il y a un braquage,POLICE,Haute
une maison fuit du gaz!,POMPIER,Haute
quelqu'un est entré par effraction aidez-moi,POLICE,Moyenne
un tueur me frappe au visage!,POLICE,Haute
un individu veut me poignarder vite,POLICE,Haute
le toit brûle aidez-moi,POMPIER,Haute
un voleur a un couteau aidez-moi,POLICE,Haute
un gars est entré par effraction je suis en danger,POLICE,Moyenne
quelqu'un a très mal au dos je suis en danger,MÉDICAL,Moyenne
le datacenter a crashé,INFRA,Haute
l'hyperviseur ne répond plus,INFRA,Haute
une maison menace de s'écrouler,POMPIER,Moyenne
le réseau affiche une erreur 500,INFRA,Haute
une maison à exploser,POMPIER,Haute
je saigne du doigt,MÉDICAL,Basse
une maison brûle ma vie est en danger,POMPIER,Haute
mon ex me suit dans la rue.,POLICE,Moyenne
mon authentification est bloqué,ACCÈS,Moyenne
un homme rode autour de la maison.,POLICE,Moyenne
un individu essaie de me tuer,POLICE,Haute
un fou braque la banque.,POLICE,Haute
un immeuble est en train de s'écrouler aidez-moi,POMPIER,Moyenne
une maison menace de s'écrouler je suis en danger,POMPIER,Moyenne
j'ai cassé mon nez,MÉDICAL,Moyenne
un gars tire sur la foule aidez-moi,POLICE,Haute
j'ai cassé mon bras aidez-moi,MÉDICAL,Moyenne
l'imprimante ne répond plus,MATÉRIEL,Basse
il y a un tueur en série,POLICE,Haute
mon fils a très mal au dos je suis en danger,MÉDICAL,Moyenne
un fou tire sur la foule!,POLICE,Haute
le toit fuit du gaz!,POMPIER,Haute
il y a un braquage,POLICE,Haute
je perdu un oeil.,MÉDICAL,Haute
ma souris est bloqué,MATÉRIEL,Basse
l'imprimante ne s'allume pas,MATÉRIEL,Basse
un pont brûle!,POMPIER,Haute
quelqu'un veut me poignarder je suis en danger,POLICE,Haute
la base de données a crashé,INFRA,Haute
un individu essaie de me tuer vite,POLICE,Haute
la webcam fait un bruit bizarre,MATÉRIEL,Basse
mon clavier est cassé,MATÉRIEL,Basse
mon authentification est bloqué,ACCÈS,Moyenne
mon collègue a le nez cassé!,MÉDICAL,Moyenne
un gars veut me poignarder aidez-moi,POLICE,Haute
une voiture est en train de s'écrouler ma vie est en danger,POMPIER,Moyenne
un gars essaie de me tuer ma vie est en danger,POLICE,Haute
mon fils a cassé mon bras!,MÉDICAL,Moyenne
un homme est entré par effraction!,POLICE,Moyenne
un voleur rode autour de la maison je suis en danger,POLICE,Moyenne
une voiture menace de s'écrouler vite,POMPIER,Moyenne
un pont est en train de s'écrouler,POMPIER,Moyenne
quelqu'un essaie de me tuer,POLICE,Haute
quelqu'un a un fusil,POLICE,Haute
le toit brûle je suis en danger,POMPIER,Haute
un fou braque la banque aidez-moi,POLICE,Haute
mon accès est verrouillé,ACCÈS,Moyenne
l'hyperviseur a crashé,INFRA,Haute
quelqu'un me suit dans la rue ma vie est en danger,POLICE,Moyenne
une maison est rempli de fumée,POMPIER,Haute
une maison à exploser,POMPIER,Haute
ma souris est cassé,MATÉRIEL,Basse
ma souris marche plus,MATÉRIEL,Basse
j'ai cassé mon nez,MÉDICAL,Moyenne
mon ami a fait un malaise.,MÉDICAL,Haute
quelqu'un a une grosse hémorragie vite,MÉDICAL,Haute
une voiture menace de s'écrouler ma vie est en danger,POMPIER,Moyenne
un fou veut me poignarder.,POLICE,Haute
un voleur est entré par effraction aidez-moi,POLICE,Moyenne
j'ai très mal au dos.,MÉDICAL,Moyenne
un inconnu a un fusil!,POLICE,Haute
un immeuble est rempli de fumée je suis en danger,POMPIER,Haute
j'ai du mal à respirer,MÉDICAL,Haute
le vidéoprojecteur clignote sans arrêt,MATÉRIEL,Basse
mon ami a cassé mon bras vite,MÉDICAL,Moyenne
le réseau affiche une erreur 500,INFRA,Haute
il y'a une aggression,POLICE,Haute
mon fils a le crâne ouvert je suis en danger,MÉDICAL,Haute
une centrale nucléaire menace de s'écrouler,POMPIER,Moyenne
un individu me frappe au visage,POLICE,Haute
un homme essaie de me tuer.,POLICE,Haute
mon fils a fait un malaise je suis en danger,MÉDICAL,Haute
ma session est bloqué,ACCÈS,Moyenne
ma femme a perdu un oeil,MÉDICAL,Haute
des gens me suit dans la rue.,POLICE,Moyenne
mon login est expiré,ACCÈS,Moyenne
quelqu'un a cassé mon bras,MÉDICAL,Moyenne
un homme rode autour de la maison ma vie est en danger,POLICE,Moyenne
le wifi est très lent,INFRA,Haute
une usine a été soufflé par une explosion je suis en danger,POMPIER,Haute
mon casque est mort,MATÉRIEL,Basse
un immeuble vient d'exploser je suis en danger,POMPIER,Haute
j'ai du sang,MÉDICAL,Moyenne
une voiture est rempli de fumée je suis en danger,POMPIER,Haute
un gars a sorti une arme,POLICE,Haute
j'ai du sang,MÉDICAL,Moyenne
une voiture est en train de s'écrouler aidez-moi,POMPIER,Moyenne
des gens me menace avec une arme ma vie est en danger,POLICE,Haute
la webcam ne répond plus,MATÉRIEL,Basse
mon collègue a très mal au dos aidez-moi,MÉDICAL,Moyenne
le serveur est tombé,INFRA,Haute
mon fils a le nez cassé.,MÉDICAL,Moyenne
il y'a une aggression,POLICE,Haute
je saigne du doigt,MÉDICAL,Basse
mon fils a très mal au coeur ma vie est en danger,MÉDICAL,Haute
mon compte a été piraté,ACCÈS,Moyenne
un pont menace de s'écrouler je suis en danger,POMPIER,Moyenne
au secours on me tire dessus,POLICE,Haute
des gens me suit dans la rue ma vie est en danger,POLICE,Moyenne
mon compte a été piraté,ACCÈS,Moyenne
la fibre ne répond plus,INFRA,Haute
le serveur est très lent,INFRA,Haute
mon collègue a le bras arraché ma vie est en danger,MÉDICAL,Haute
l'hyperviseur ne répond plus,INFRA,Haute
le routeur affiche une erreur 500,INFRA,Haute
le vidéoprojecteur clignote sans arrêt,MATÉRIEL,Basse
ma femme a cassé mon bras.,MÉDICAL,Moyenne
la forêt menace de s'écrouler,POMPIER,Moyenne
j'ai cassé mon bras.,MÉDICAL,Moyenne
ma souris d'ordinateur est morte,MATÉRIEL,Basse
quelqu'un essaie de rentrer de force,POLICE,Moyenne
mon ex rode autour de la maison!,POLICE,Moyenne
ma femme a très mal au dos!,MÉDICAL,Moyenne
j'ai perdu ma jambe,MÉDICAL,Haute
mon clavier est bloqué,MATÉRIEL,Basse
mon ex a sorti une arme,POLICE,Haute
ma souris ne répond plus,MATÉRIEL,Basse
je fait un malaise,MÉDICAL,Haute
une centrale nucléaire menace de s'écrouler.,POMPIER,Moyenne
le parking brûle vite,POMPIER,Haute
quelqu'un a le crâne ouvert,MÉDICAL,Haute
mon fils a perdu un oeil ma vie est en danger,MÉDICAL,Haute
un individu me suit dans la rue,POLICE,Moyenne
mon fils a le bras arraché vite,MÉDICAL,Haute
quelqu'un me suit dans la rue ma vie est en danger,POLICE,Moyenne
une central nucléaire vient d'exploser,POMPIER,Haute
ma session est bloqué,ACCÈS,Moyenne
mon écran a l'écran fissuré,MATÉRIEL,Basse
mon clavier est mort,MATÉRIEL,Basse
mon fils a très mal au dos vite,MÉDICAL,Moyenne
mon fils a le nez cassé je suis en danger,MÉDICAL,Moyenne
"ma vie est en danger, il y a quelqu'un",POLICE,Haute
mon fils a très mal au ventre je suis en danger,MÉDICAL,Moyenne
mon pc a un faux contact,MATÉRIEL,Basse
ma femme a très mal au ventre!,MÉDICAL,Moyenne
mon pc est mort,MATÉRIEL,Basse
ma souris a un faux contact,MATÉRIEL,Basse
un voleur me suit dans la rue ma vie est en danger,POLICE,Moyenne
un voleur est entré par effraction je suis en danger,POLICE,Moyenne
au secours on me tire dessus,POLICE,Haute
mon accès a été piraté,ACCÈS,Moyenne
mon écran fait un bruit bizarre,MATÉRIEL,Basse
l'hyperviseur est tombé,INFRA,Haute
un voleur est entré par effraction!,POLICE,Moyenne
la fibre affiche une erreur 500,INFRA,Haute
