texte,domaine,statut_friction,question_bot,impact_cible,urgence_cible
Un passant ai gonflé la colonne,MÉDICAL,PRECISION_MED_SEVERE,"⚠️ Vous indiquez une blessure à la colonne. Sur une échelle de 1 à 10, quelle est la douleur ? Y a-t-il de la fièvre ou des saignements ?",3,3
Un passant m'a volé avec une arme à feu,POLICE,MANQUE_LIEU,🚨 LOCALISATION MANQUANTE : À quelle adresse exacte vous trouvez-vous ?,3,4
Mon père est inconscient,MÉDICAL,MANQUE_LIEU_VITAL,🚨 URGENCE VITALE : Donnez-moi immédiatement votre adresse ou ville exacte !,4,4
Il y a un incendie,POMPIER,MANQUE_LIEU,🚨 LOCALISATION MANQUANTE : À quelle adresse ou ville vous trouvez-vous ?,3,4
Un accident de voiture,POMPIER,MANQUE_LIEU,🚨 LOCALISATION MANQUANTE : À quelle adresse ou ville vous trouvez-vous ?,3,4
Ma femme me suis cassé le ventre sur l'autoroute A81,MÉDICAL,COMPLET_SEVERE,"✅ Urgence qualifiée (Priorité Haute). Ne bougez pas la victime, les secours sont en route.",3,3
Ma femme me suis écorché le genou,MÉDICAL,MANQUE_LIEU,"🚨 J'ai noté la blessure (le genou), mais à quelle adresse êtes-vous ?",1,1
Un ami me suis cassé dans la forêt,MÉDICAL,MANQUE_CORPS,🩹 PRÉCISION REQUISE : À quelle partie du corps se situe la douleur exacte ?,2,2
Mon enfant frappe avec une machette au 5 rue de la paix,POLICE,COMPLET,✅ La police est en route. Mettez-vous en sécurité et ne raccrochez pas.,4,4
Mon mari se vide de son sang au lac,MÉDICAL,COMPLET_VITAL,✅ LE SAMU EST DÉCLENCHÉ. Commencez le massage cardiaque ou mettez la victime en PLS si elle respire.,4,4
Un passant tousse un peu dans le métro ligne 4,MÉDICAL,MANQUE_CORPS,🩹 PRÉCISION REQUISE : À quelle partie du corps se situe la blessure ?,1,1
Mon mari ai gonflé la tête,MÉDICAL,PRECISION_MED_SEVERE,"⚠️ Vous indiquez une blessure à la tête. Sur une échelle de 1 à 10, quelle est la douleur ? Y a-t-il de la fièvre ou des saignements ?",3,3
Mon père est inconscient,MÉDICAL,MANQUE_LIEU_VITAL,🚨 URGENCE VITALE : Donnez-moi immédiatement votre adresse ou ville exacte !,4,4
Un passant ai un bleu le genou,MÉDICAL,MANQUE_LIEU,"🚨 J'ai noté la blessure (le genou), mais à quelle adresse êtes-vous ?",1,1
Le serveur est en panne,INFRA,MANQUE_CONTEXTE_IT,🏢 CONTEXTE REQUIS : Pour quel site ou agence signalez-vous cet incident ?,2,2
Plus d'accès internet erreur 500 au bureau 302,INFRA,COMPLET,✅ Incident technique qualifié. Le support N2 prend le relais.,3,3
Un collègue fait un choc anaphylactique,MÉDICAL,MANQUE_LIEU_VITAL,🚨 URGENCE VITALE : Donnez-moi immédiatement votre adresse ou ville exacte !,4,4
Il y a un incendie à la mairie,POMPIER,PRECISION_POMP,🔥 Y a-t-il des personnes bloquées à l'intérieur ou des blessés ?,3,4
Je fait un arrêt cardiaque dans la forêt,MÉDICAL,COMPLET_VITAL,✅ LE SAMU EST DÉCLENCHÉ. Commencez le massage cardiaque ou mettez la victime en PLS si elle respire.,4,4
Mon père ne respire plus au 3ème étage du bâtiment B,MÉDICAL,COMPLET_VITAL,✅ LE SAMU EST DÉCLENCHÉ. Commencez le massage cardiaque ou mettez la victime en PLS si elle respire.,4,4
Ma mère s'étouffe,MÉDICAL,MANQUE_LIEU_VITAL,🚨 URGENCE VITALE : Donnez-moi immédiatement votre adresse ou ville exacte !,4,4
Mon fils poursuit avec une barre de fer au centre commercial,POLICE,COMPLET,✅ La police est en route. Mettez-vous en sécurité et ne raccrochez pas.,4,4
Ma mère ai un bleu la main,MÉDICAL,MANQUE_LIEU,"🚨 J'ai noté la blessure (la main), mais à quelle adresse êtes-vous ?",1,1
Un collègue menace avec avec une batte,POLICE,MANQUE_LIEU,🚨 LOCALISATION MANQUANTE : À quelle adresse exacte vous trouvez-vous ?,3,4
Ransomware détecté au bureau 302,INFRA,MANQUE_ERREUR,💻 Quel est le message d'erreur exact affiché à l'écran ?,2,3
Mon père ai fait une chute grave le ventre dans le métro ligne 4,MÉDICAL,COMPLET_SEVERE,"✅ Urgence qualifiée (Priorité Haute). Ne bougez pas la victime, les secours sont en route.",3,3
Je menace avec avec une machette sur l'autoroute A81,POLICE,COMPLET,✅ La police est en route. Mettez-vous en sécurité et ne raccrochez pas.,4,4
Une fuite de gaz,POMPIER,MANQUE_LIEU,🚨 LOCALISATION MANQUANTE : À quelle adresse ou ville vous trouvez-vous ?,3,4
Une explosion au 3ème étage du bâtiment B,POMPIER,PRECISION_POMP,🔥 Y a-t-il des personnes bloquées à l'intérieur ou des blessés ?,3,4
Le serveur est en panne au datacenter,INFRA,MANQUE_ERREUR,💻 Quel est le message d'erreur exact affiché à l'écran ?,2,3
Mon mari ai une crise d'épilepsie au croisement de la rue jean jaurès,MÉDICAL,MANQUE_CORPS,🩹 PRÉCISION REQUISE : À quelle partie du corps se situe la douleur exacte ?,2,2
Un ami poursuit avec une barre de fer au 10 rue de la République,POLICE,COMPLET,✅ La police est en route. Mettez-vous en sécurité et ne raccrochez pas.,4,4
Je ai un rhume la main devant la gare,MÉDICAL,COMPLET_BENIN,✅ C'est noté. Vous pouvez désinfecter la plaie. Souhaitez-vous un conseil médical ?,1,1
Mon père menace avec avec une barre de fer,POLICE,MANQUE_LIEU,🚨 LOCALISATION MANQUANTE : À quelle adresse exacte vous trouvez-vous ?,3,4
Mon fils est inconscient au centre commercial,MÉDICAL,COMPLET_VITAL,✅ LE SAMU EST DÉCLENCHÉ. Commencez le massage cardiaque ou mettez la victime en PLS si elle respire.,4,4
Un collègue poursuit avec une machette devant la gare,POLICE,COMPLET,✅ La police est en route. Mettez-vous en sécurité et ne raccrochez pas.,4,4
Mon père ai une petite coupure le bras,MÉDICAL,MANQUE_LIEU,"🚨 J'ai noté la blessure (le bras), mais à quelle adresse êtes-vous ?",1,1
Mon père ai une ampoule le genou,MÉDICAL,MANQUE_LIEU,"🚨 J'ai noté la blessure (le genou), mais à quelle adresse êtes-vous ?",1,1
Mon fils m'a agressé avec une machette,POLICE,MANQUE_LIEU,🚨 LOCALISATION MANQUANTE : À quelle adresse exacte vous trouvez-vous ?,3,4
Mon mari fait un arrêt cardiaque,MÉDICAL,MANQUE_LIEU_VITAL,🚨 URGENCE VITALE : Donnez-moi immédiatement votre adresse ou ville exacte !,4,4
Base de données plantée à l'agence,INFRA,MANQUE_ERREUR,💻 Quel est le message d'erreur exact affiché à l'écran ?,2,3
Un collègue frappe avec une machette,POLICE,MANQUE_LIEU,🚨 LOCALISATION MANQUANTE : À quelle adresse exacte vous trouvez-vous ?,3,4
Impossible de se connecter erreur 500 à l'agence,INFRA,COMPLET,✅ Incident technique qualifié. Le support N2 prend le relais.,3,3
Mon père ne respire plus,MÉDICAL,MANQUE_LIEU_VITAL,🚨 URGENCE VITALE : Donnez-moi immédiatement votre adresse ou ville exacte !,4,4
Ma mère ai une petite coupure au 3ème étage du bâtiment B,MÉDICAL,MANQUE_CORPS,🩹 PRÉCISION REQUISE : À quelle partie du corps se situe la blessure ?,1,1
Un accident de voiture,POMPIER,MANQUE_LIEU,🚨 LOCALISATION MANQUANTE : À quelle adresse ou ville vous trouvez-vous ?,3,4
Ma femme ai très mal sur l'autoroute A81,MÉDICAL,MANQUE_CORPS,🩹 PRÉCISION REQUISE : À quelle partie du corps se situe la douleur exacte ?,2,2
Mon mari ai une douleur aiguë à l'école primaire,MÉDICAL,MANQUE_CORPS,🩹 PRÉCISION REQUISE : À quelle partie du corps se situe la douleur exacte ?,2,2
Ma mère me suis pincé le bras,MÉDICAL,MANQUE_LIEU,"🚨 J'ai noté la blessure (le bras), mais à quelle adresse êtes-vous ?",1,1
Un ami ai un bleu au 10 rue de la République,MÉDICAL,MANQUE_CORPS,🩹 PRÉCISION REQUISE : À quelle partie du corps se situe la blessure ?,1,1
Ransomware détecté,INFRA,MANQUE_CONTEXTE_IT,🏢 CONTEXTE REQUIS : Pour quel site ou agence signalez-vous cet incident ?,2,2
Ma femme cambriole au 3ème étage du bâtiment B,POLICE,MANQUE_ARME,"⚖️ SÉCURITÉ : Y a-t-il des armes visibles (couteau, arme à feu) ?",2,3
Un accident de voiture,POMPIER,MANQUE_LIEU,🚨 LOCALISATION MANQUANTE : À quelle adresse ou ville vous trouvez-vous ?,3,4
Un toit s'est effondré dans la forêt,POMPIER,PRECISION_POMP,🔥 Y a-t-il des personnes bloquées à l'intérieur ou des blessés ?,3,4
Un ami ai un bleu le bras,MÉDICAL,MANQUE_LIEU,"🚨 J'ai noté la blessure (le bras), mais à quelle adresse êtes-vous ?",1,1
Je s'étouffe au 5 rue de la paix,MÉDICAL,COMPLET_VITAL,✅ LE SAMU EST DÉCLENCHÉ. Commencez le massage cardiaque ou mettez la victime en PLS si elle respire.,4,4
Un crash,POMPIER,MANQUE_LIEU,🚨 LOCALISATION MANQUANTE : À quelle adresse ou ville vous trouvez-vous ?,3,4
Je ne respire plus au croisement de la rue jean jaurès,MÉDICAL,COMPLET_VITAL,✅ LE SAMU EST DÉCLENCHÉ. Commencez le massage cardiaque ou mettez la victime en PLS si elle respire.,4,4
Mon mari ai fait une chute grave le dos,MÉDICAL,PRECISION_MED_SEVERE,"⚠️ Vous indiquez une blessure à le dos. Sur une échelle de 1 à 10, quelle est la douleur ? Y a-t-il de la fièvre ou des saignements ?",3,3
Un accident de voiture,POMPIER,MANQUE_LIEU,🚨 LOCALISATION MANQUANTE : À quelle adresse ou ville vous trouvez-vous ?,3,4
Mon fils cambriole avec un couteau,POLICE,MANQUE_LIEU,🚨 LOCALISATION MANQUANTE : À quelle adresse exacte vous trouvez-vous ?,3,4
Un collègue ai une petite coupure le doigt,MÉDICAL,MANQUE_LIEU,"🚨 J'ai noté la blessure (le doigt), mais à quelle adresse êtes-vous ?",1,1
Une explosion,POMPIER,MANQUE_LIEU,🚨 LOCALISATION MANQUANTE : À quelle adresse ou ville vous trouvez-vous ?,3,4
Mon enfant ai un bleu le doigt,MÉDICAL,MANQUE_LIEU,"🚨 J'ai noté la blessure (le doigt), mais à quelle adresse êtes-vous ?",1,1
Je cambriole avec un couteau au lac,POLICE,COMPLET,✅ La police est en route. Mettez-vous en sécurité et ne raccrochez pas.,4,4
Un passant ai gonflé au 5 rue de la paix,MÉDICAL,MANQUE_CORPS,🩹 PRÉCISION REQUISE : À quelle partie du corps se situe la douleur exacte ?,2,2
Mon mari ai fait une chute grave le dos à Paris,MÉDICAL,COMPLET_SEVERE,"✅ Urgence qualifiée (Priorité Haute). Ne bougez pas la victime, les secours sont en route.",3,3
Mon mari se vide de son sang,MÉDICAL,MANQUE_LIEU_VITAL,🚨 URGENCE VITALE : Donnez-moi immédiatement votre adresse ou ville exacte !,4,4
Mon père ai une petite coupure chez moi au 12 avenue foch,MÉDICAL,MANQUE_CORPS,🩹 PRÉCISION REQUISE : À quelle partie du corps se situe la blessure ?,1,1
Un crash à la mairie,POMPIER,PRECISION_POMP,🔥 Y a-t-il des personnes bloquées à l'intérieur ou des blessés ?,3,4
Plus d'accès internet écran bleu au siège,INFRA,COMPLET,✅ Incident technique qualifié. Le support N2 prend le relais.,3,3
Impossible de se connecter,INFRA,MANQUE_CONTEXTE_IT,🏢 CONTEXTE REQUIS : Pour quel site ou agence signalez-vous cet incident ?,2,2
Un collègue fait une overdose,MÉDICAL,MANQUE_LIEU_VITAL,🚨 URGENCE VITALE : Donnez-moi immédiatement votre adresse ou ville exacte !,4,4
Je m'a agressé avec une batte,POLICE,MANQUE_LIEU,🚨 LOCALISATION MANQUANTE : À quelle adresse exacte vous trouvez-vous ?,3,4
Plus d'accès internet au siège,INFRA,MANQUE_ERREUR,💻 Quel est le message d'erreur exact affiché à l'écran ?,2,3
Mon mari s'étouffe chez moi au 12 avenue foch,MÉDICAL,COMPLET_VITAL,✅ LE SAMU EST DÉCLENCHÉ. Commencez le massage cardiaque ou mettez la victime en PLS si elle respire.,4,4
Mon fils fait un choc anaphylactique,MÉDICAL,MANQUE_LIEU_VITAL,🚨 URGENCE VITALE : Donnez-moi immédiatement votre adresse ou ville exacte !,4,4
Mon enfant ai très mal à Rennes,MÉDICAL,MANQUE_CORPS,🩹 PRÉCISION REQUISE : À quelle partie du corps se situe la douleur exacte ?,2,2
Ma mère menace avec avec une arme à feu devant la gare,POLICE,COMPLET,✅ La police est en route. Mettez-vous en sécurité et ne raccrochez pas.,4,4
Il y a un incendie dans le métro ligne 4,POMPIER,PRECISION_POMP,🔥 Y a-t-il des personnes bloquées à l'intérieur ou des blessés ?,3,4
Mon mari ai gonflé la poitrine,MÉDICAL,PRECISION_MED_SEVERE,"⚠️ Vous indiquez une blessure à la poitrine. Sur une échelle de 1 à 10, quelle est la douleur ? Y a-t-il de la fièvre ou des saignements ?",3,3
Ma mère ai une petite coupure la main au centre commercial,MÉDICAL,COMPLET_BENIN,✅ C'est noté. Vous pouvez désinfecter la plaie. Souhaitez-vous un conseil médical ?,1,1
Le serveur est en panne à l'agence,INFRA,MANQUE_ERREUR,💻 Quel est le message d'erreur exact affiché à l'écran ?,2,3
Impossible de se connecter,INFRA,MANQUE_CONTEXTE_IT,🏢 CONTEXTE REQUIS : Pour quel site ou agence signalez-vous cet incident ?,2,2
Je se vide de son sang devant la gare,MÉDICAL,COMPLET_VITAL,✅ LE SAMU EST DÉCLENCHÉ. Commencez le massage cardiaque ou mettez la victime en PLS si elle respire.,4,4
Un crash,POMPIER,MANQUE_LIEU,🚨 LOCALISATION MANQUANTE : À quelle adresse ou ville vous trouvez-vous ?,3,4
Ma femme ai une petite coupure la main,MÉDICAL,MANQUE_LIEU,"🚨 J'ai noté la blessure (la main), mais à quelle adresse êtes-vous ?",1,1
Un collègue fait un choc anaphylactique,MÉDICAL,MANQUE_LIEU_VITAL,🚨 URGENCE VITALE : Donnez-moi immédiatement votre adresse ou ville exacte !,4,4
Un passant se vide de son sang,MÉDICAL,MANQUE_LIEU_VITAL,🚨 URGENCE VITALE : Donnez-moi immédiatement votre adresse ou ville exacte !,4,4
Mon père ai un bleu la cheville,MÉDICAL,MANQUE_LIEU,"🚨 J'ai noté la blessure (la cheville), mais à quelle adresse êtes-vous ?",1,1
Mon enfant m'a agressé à Paris,POLICE,MANQUE_ARME,"⚖️ SÉCURITÉ : Y a-t-il des armes visibles (couteau, arme à feu) ?",2,3
Un ami ai une crise d'épilepsie à la mairie,MÉDICAL,MANQUE_CORPS,🩹 PRÉCISION REQUISE : À quelle partie du corps se situe la douleur exacte ?,2,2
Un ami ne respire plus,MÉDICAL,MANQUE_LIEU_VITAL,🚨 URGENCE VITALE : Donnez-moi immédiatement votre adresse ou ville exacte !,4,4
Ma mère m'a volé avec une batte,POLICE,MANQUE_LIEU,🚨 LOCALISATION MANQUANTE : À quelle adresse exacte vous trouvez-vous ?,3,4
Mon fils ai une fracture ouverte la colonne à l'école primaire,MÉDICAL,COMPLET_SEVERE,"✅ Urgence qualifiée (Priorité Haute). Ne bougez pas la victime, les secours sont en route.",3,3
Mon enfant ai fait une chute grave au 3ème étage du bâtiment B,MÉDICAL,MANQUE_CORPS,🩹 PRÉCISION REQUISE : À quelle partie du corps se situe la douleur exacte ?,2,2
Mon père ai fait une chute grave la colonne,MÉDICAL,PRECISION_MED_SEVERE,"⚠️ Vous indiquez une blessure à la colonne. Sur une échelle de 1 à 10, quelle est la douleur ? Y a-t-il de la fièvre ou des saignements ?",3,3
Mon père poursuit avec une batte,POLICE,MANQUE_LIEU,🚨 LOCALISATION MANQUANTE : À quelle adresse exacte vous trouvez-vous ?,3,4
Un collègue frappe avec une arme à feu,POLICE,MANQUE_LIEU,🚨 LOCALISATION MANQUANTE : À quelle adresse exacte vous trouvez-vous ?,3,4
Mon fils me suis écorché au 10 rue de la République,MÉDICAL,MANQUE_CORPS,🩹 PRÉCISION REQUISE : À quelle partie du corps se situe la blessure ?,1,1
Une fuite de gaz,POMPIER,MANQUE_LIEU,🚨 LOCALISATION MANQUANTE : À quelle adresse ou ville vous trouvez-vous ?,3,4
Un crash,POMPIER,MANQUE_LIEU,🚨 LOCALISATION MANQUANTE : À quelle adresse ou ville vous trouvez-vous ?,3,4
Un passant me suis écorché le bras,MÉDICAL,MANQUE_LIEU,"🚨 J'ai noté la blessure (le bras), mais à quelle adresse êtes-vous ?",1,1
Je ai une fracture ouverte le crâne,MÉDICAL,PRECISION_MED_SEVERE,"⚠️ Vous indiquez une blessure à le crâne. Sur une échelle de 1 à 10, quelle est la douleur ? Y a-t-il de la fièvre ou des saignements ?",3,3
Mon mari ai une ampoule le doigt au lac,MÉDICAL,COMPLET_BENIN,✅ C'est noté. Vous pouvez désinfecter la plaie. Souhaitez-vous un conseil médical ?,1,1
Un crash au 5 rue de la paix,POMPIER,PRECISION_POMP,🔥 Y a-t-il des personnes bloquées à l'intérieur ou des blessés ?,3,4
Un collègue est inconscient,MÉDICAL,MANQUE_LIEU_VITAL,🚨 URGENCE VITALE : Donnez-moi immédiatement votre adresse ou ville exacte !,4,4
Mon mari ai gonflé la poitrine au lac,MÉDICAL,COMPLET_SEVERE,"✅ Urgence qualifiée (Priorité Haute). Ne bougez pas la victime, les secours sont en route.",3,3
Mon père me suis cassé à Rennes,MÉDICAL,MANQUE_CORPS,🩹 PRÉCISION REQUISE : À quelle partie du corps se situe la douleur exacte ?,2,2
Ransomware détecté,INFRA,MANQUE_CONTEXTE_IT,🏢 CONTEXTE REQUIS : Pour quel site ou agence signalez-vous cet incident ?,2,2
Mon père ai un bleu l'orteil,MÉDICAL,MANQUE_LIEU,"🚨 J'ai noté la blessure (l'orteil), mais à quelle adresse êtes-vous ?",1,1
Impossible de se connecter,INFRA,MANQUE_CONTEXTE_IT,🏢 CONTEXTE REQUIS : Pour quel site ou agence signalez-vous cet incident ?,2,2
Mon père fait une overdose dans le métro ligne 4,MÉDICAL,COMPLET_VITAL,✅ LE SAMU EST DÉCLENCHÉ. Commencez le massage cardiaque ou mettez la victime en PLS si elle respire.,4,4
Un toit s'est effondré,POMPIER,MANQUE_LIEU,🚨 LOCALISATION MANQUANTE : À quelle adresse ou ville vous trouvez-vous ?,3,4
Il y a un incendie au 5 rue de la paix,POMPIER,PRECISION_POMP,🔥 Y a-t-il des personnes bloquées à l'intérieur ou des blessés ?,3,4
Un collègue est inconscient au 10 rue de la République,MÉDICAL,COMPLET_VITAL,✅ LE SAMU EST DÉCLENCHÉ. Commencez le massage cardiaque ou mettez la victime en PLS si elle respire.,4,4
Un crash dans le métro ligne 4,POMPIER,PRECISION_POMP,🔥 Y a-t-il des personnes bloquées à l'intérieur ou des blessés ?,3,4
Un collègue cambriole avec un pistolet chez moi au 12 avenue foch,POLICE,COMPLET,✅ La police est en route. Mettez-vous en sécurité et ne raccrochez pas.,4,4
Mon mari m'a agressé avec une arme à feu,POLICE,MANQUE_LIEU,🚨 LOCALISATION MANQUANTE : À quelle adresse exacte vous trouvez-vous ?,3,4
Un ami ai une crise d'épilepsie le ventre au 3ème étage du bâtiment B,MÉDICAL,COMPLET_SEVERE,"✅ Urgence qualifiée (Priorité Haute). Ne bougez pas la victime, les secours sont en route.",3,3
Mon fils fait une overdose,MÉDICAL,MANQUE_LIEU_VITAL,🚨 URGENCE VITALE : Donnez-moi immédiatement votre adresse ou ville exacte !,4,4
Un collègue ai une petite coupure le bras dans le métro ligne 4,MÉDICAL,COMPLET_BENIN,✅ C'est noté. Vous pouvez désinfecter la plaie. Souhaitez-vous un conseil médical ?,1,1
Plus d'accès internet accès refusé au bureau 302,INFRA,COMPLET,✅ Incident technique qualifié. Le support N2 prend le relais.,3,3
Un crash,POMPIER,MANQUE_LIEU,🚨 LOCALISATION MANQUANTE : À quelle adresse ou ville vous trouvez-vous ?,3,4
Mon fils est inconscient,MÉDICAL,MANQUE_LIEU_VITAL,🚨 URGENCE VITALE : Donnez-moi immédiatement votre adresse ou ville exacte !,4,4
Un ami me suis pincé la cheville devant la gare,MÉDICAL,COMPLET_BENIN,✅ C'est noté. Vous pouvez désinfecter la plaie. Souhaitez-vous un conseil médical ?,1,1
Il y a un incendie,POMPIER,MANQUE_LIEU,🚨 LOCALISATION MANQUANTE : À quelle adresse ou ville vous trouvez-vous ?,3,4
Mon enfant ai une crise d'épilepsie au lac,MÉDICAL,MANQUE_CORPS,🩹 PRÉCISION REQUISE : À quelle partie du corps se situe la douleur exacte ?,2,2
Ma mère fait un choc anaphylactique à l'école primaire,MÉDICAL,COMPLET_VITAL,✅ LE SAMU EST DÉCLENCHÉ. Commencez le massage cardiaque ou mettez la victime en PLS si elle respire.,4,4
Mon fils ai un rhume le genou,MÉDICAL,MANQUE_LIEU,"🚨 J'ai noté la blessure (le genou), mais à quelle adresse êtes-vous ?",1,1
Un ami ai une crise d'épilepsie le dos,MÉDICAL,PRECISION_MED_SEVERE,"⚠️ Vous indiquez une blessure à le dos. Sur une échelle de 1 à 10, quelle est la douleur ? Y a-t-il de la fièvre ou des saignements ?",3,3
Un crash,POMPIER,MANQUE_LIEU,🚨 LOCALISATION MANQUANTE : À quelle adresse ou ville vous trouvez-vous ?,3,4
Un ami ai gonflé le dos,MÉDICAL,PRECISION_MED_SEVERE,"⚠️ Vous indiquez une blessure à le dos. Sur une échelle de 1 à 10, quelle est la douleur ? Y a-t-il de la fièvre ou des saignements ?",3,3
Mon fils s'étouffe,MÉDICAL,MANQUE_LIEU_VITAL,🚨 URGENCE VITALE : Donnez-moi immédiatement votre adresse ou ville exacte !,4,4
Je ai une crise d'épilepsie le crâne,MÉDICAL,PRECISION_MED_SEVERE,"⚠️ Vous indiquez une blessure à le crâne. Sur une échelle de 1 à 10, quelle est la douleur ? Y a-t-il de la fièvre ou des saignements ?",3,3
Mon fils menace avec au 10 rue de la République,POLICE,MANQUE_ARME,"⚖️ SÉCURITÉ : Y a-t-il des armes visibles (couteau, arme à feu) ?",2,3
Je ai fait une chute grave la tête sur le parking du supermarché,MÉDICAL,COMPLET_SEVERE,"✅ Urgence qualifiée (Priorité Haute). Ne bougez pas la victime, les secours sont en route.",3,3
Mon enfant est inconscient à Paris,MÉDICAL,COMPLET_VITAL,✅ LE SAMU EST DÉCLENCHÉ. Commencez le massage cardiaque ou mettez la victime en PLS si elle respire.,4,4
Mon fils frappe avec une barre de fer,POLICE,MANQUE_LIEU,🚨 LOCALISATION MANQUANTE : À quelle adresse exacte vous trouvez-vous ?,3,4
Mon père fait une overdose,MÉDICAL,MANQUE_LIEU_VITAL,🚨 URGENCE VITALE : Donnez-moi immédiatement votre adresse ou ville exacte !,4,4
Une fuite de gaz dans le métro ligne 4,POMPIER,PRECISION_POMP,🔥 Y a-t-il des personnes bloquées à l'intérieur ou des blessés ?,3,4
Base de données plantée,INFRA,MANQUE_CONTEXTE_IT,🏢 CONTEXTE REQUIS : Pour quel site ou agence signalez-vous cet incident ?,2,2
Ma femme ai un rhume la main,MÉDICAL,MANQUE_LIEU,"🚨 J'ai noté la blessure (la main), mais à quelle adresse êtes-vous ?",1,1
Mon fils ai une ampoule le genou,MÉDICAL,MANQUE_LIEU,"🚨 J'ai noté la blessure (le genou), mais à quelle adresse êtes-vous ?",1,1
Mon fils ai un rhume le doigt à Paris,MÉDICAL,COMPLET_BENIN,✅ C'est noté. Vous pouvez désinfecter la plaie. Souhaitez-vous un conseil médical ?,1,1
Je ai fait une chute grave sur l'autoroute A81,MÉDICAL,MANQUE_CORPS,🩹 PRÉCISION REQUISE : À quelle partie du corps se situe la douleur exacte ?,2,2
Ma femme ai un bleu à la mairie,MÉDICAL,MANQUE_CORPS,🩹 PRÉCISION REQUISE : À quelle partie du corps se situe la blessure ?,1,1
Mon mari me suis écorché la cheville,MÉDICAL,MANQUE_LIEU,"🚨 J'ai noté la blessure (la cheville), mais à quelle adresse êtes-vous ?",1,1
Un ami ai une fracture ouverte à la mairie,MÉDICAL,MANQUE_CORPS,🩹 PRÉCISION REQUISE : À quelle partie du corps se situe la douleur exacte ?,2,2
Mon mari frappe avec une barre de fer à la mairie,POLICE,COMPLET,✅ La police est en route. Mettez-vous en sécurité et ne raccrochez pas.,4,4
Un passant ai gonflé le ventre,MÉDICAL,PRECISION_MED_SEVERE,"⚠️ Vous indiquez une blessure à le ventre. Sur une échelle de 1 à 10, quelle est la douleur ? Y a-t-il de la fièvre ou des saignements ?",3,3
Un crash,POMPIER,MANQUE_LIEU,🚨 LOCALISATION MANQUANTE : À quelle adresse ou ville vous trouvez-vous ?,3,4
Une fuite de gaz,POMPIER,MANQUE_LIEU,🚨 LOCALISATION MANQUANTE : À quelle adresse ou ville vous trouvez-vous ?,3,4
Mon père tousse un peu le bras à l'école primaire,MÉDICAL,COMPLET_BENIN,✅ C'est noté. Vous pouvez désinfecter la plaie. Souhaitez-vous un conseil médical ?,1,1
Un passant cambriole avec une machette,POLICE,MANQUE_LIEU,🚨 LOCALISATION MANQUANTE : À quelle adresse exacte vous trouvez-vous ?,3,4
Un collègue est inconscient,MÉDICAL,MANQUE_LIEU_VITAL,🚨 URGENCE VITALE : Donnez-moi immédiatement votre adresse ou ville exacte !,4,4
Mon fils poursuit avec une arme à feu au 5 rue de la paix,POLICE,COMPLET,✅ La police est en route. Mettez-vous en sécurité et ne raccrochez pas.,4,4
Ma mère menace avec avec une batte,POLICE,MANQUE_LIEU,🚨 LOCALISATION MANQUANTE : À quelle adresse exacte vous trouvez-vous ?,3,4
Mon père ai gonflé au centre commercial,MÉDICAL,MANQUE_CORPS,🩹 PRÉCISION REQUISE : À quelle partie du corps se situe la douleur exacte ?,2,2
Plus d'accès internet à l'agence,INFRA,MANQUE_ERREUR,💻 Quel est le message d'erreur exact affiché à l'écran ?,2,3
Impossible de se connecter à l'agence,INFRA,MANQUE_ERREUR,💻 Quel est le message d'erreur exact affiché à l'écran ?,2,3
Base de données plantée,INFRA,MANQUE_CONTEXTE_IT,🏢 CONTEXTE REQUIS : Pour quel site ou agence signalez-vous cet incident ?,2,2
Un ami ai une petite coupure au lac,MÉDICAL,MANQUE_CORPS,🩹 PRÉCISION REQUISE : À quelle partie du corps se situe la blessure ?,1,1
Ma mère ai très mal sur le parking du supermarché,MÉDICAL,MANQUE_CORPS,🩹 PRÉCISION REQUISE : À quelle partie du corps se situe la douleur exacte ?,2,2
Un ami frappe au 10 rue de la République,POLICE,MANQUE_ARME,"⚖️ SÉCURITÉ : Y a-t-il des armes visibles (couteau, arme à feu) ?",2,3
Mon fils ai très mal au lac,MÉDICAL,MANQUE_CORPS,🩹 PRÉCISION REQUISE : À quelle partie du corps se situe la douleur exacte ?,2,2
Ma femme m'a agressé avec un pistolet,POLICE,MANQUE_LIEU,🚨 LOCALISATION MANQUANTE : À quelle adresse exacte vous trouvez-vous ?,3,4
Un collègue fait une overdose,MÉDICAL,MANQUE_LIEU_VITAL,🚨 URGENCE VITALE : Donnez-moi immédiatement votre adresse ou ville exacte !,4,4
Un toit s'est effondré à l'école primaire,POMPIER,PRECISION_POMP,🔥 Y a-t-il des personnes bloquées à l'intérieur ou des blessés ?,3,4
Mon mari me suis cassé le dos,MÉDICAL,PRECISION_MED_SEVERE,"⚠️ Vous indiquez une blessure à le dos. Sur une échelle de 1 à 10, quelle est la douleur ? Y a-t-il de la fièvre ou des saignements ?",3,3
Un passant me suis écorché le doigt chez moi au 12 avenue foch,MÉDICAL,COMPLET_BENIN,✅ C'est noté. Vous pouvez désinfecter la plaie. Souhaitez-vous un conseil médical ?,1,1
Mon père menace avec devant la gare,POLICE,MANQUE_ARME,"⚖️ SÉCURITÉ : Y a-t-il des armes visibles (couteau, arme à feu) ?",2,3
Impossible de se connecter,INFRA,MANQUE_CONTEXTE_IT,🏢 CONTEXTE REQUIS : Pour quel site ou agence signalez-vous cet incident ?,2,2
